aframe-capture session 20260702-080734
target: /dev/cu.usbserial-0001
output: captures/20260702-080734

== GetVersion
  VER.2.00-BLD.001 2019/02/28 17:58:50
== Enter external edit mode
== Probe instrument parameters (algo 0)
=== INST algo=0 prm_num=79 tone=SnappyFramey
  F 36 =      3 | ?Bf:AquaFrstTDLY | PressMode:SEND? 
  F 37 =     50 | ?Bf:AquaFrstTDLY | PressSens: 50?  
  F 38 =     50 | ?Bf:AquaFrstTDLY | PressAtck:  50ms
  F 39 =    500 | ?Bf:AquaFrstTDLY | PressRele: 500ms
  F 40 =      1 | ?Bf:AquaFrstTDLY | Delay Sw:ON?    
  F 41 =      0 | ?Bf:AquaFrstTDLY | FxMtrx:Snd/Rtn? 
  F 42 =      5 | ?Bf:AquaFrstTDLY | AmbienceType:E? 
  F 43 =     36 | ?Bf:AquaFrstTDLY | Ambience Lev: 36
  F 44 =      1 | ?Bf:AquaFrstTDLY | Comp Sw:ON?     
  F 45 =    -60 | ?Bf:AquaFrstTDLY | CompThrs: -6.0dB
  F 46 =     10 | ?Bf:AquaFrstTDLY | CompRatio:  2:1?
  F 47 =      1 | ?Bf:AquaFrstTDLY | CompKnee:SOFT1? 
  F 48 =      0 | ?Bf:AquaFrstTDLY | CompAtck:  0.0ms
  F 49 =    360 | ?Bf:AquaFrstTDLY | CompRele:  360ms
  F 50 =      0 | ?Bf:AquaFrstTDLY | CompGain: +0.0dB
=== FX8 algo=8 prm_num=22 tone=SpaceRHypAsa
  F  0 =      0 | ?Bf:SpaceRHypAsa | Azimuth:  +0deg?
  F  1 =      1 | ?Bf:SpaceRHypAsa | AutoRevo:RIGHT? 
  F  2 =     18 | ?Bf:SpaceRHypAsa | RevoSpeed: 18rpm
  F  3 =      1 | ?Bf:SpaceRHypAsa | DlySw:ON?       
  F  4 =   4000 | ?Bf:SpaceRHypAsa | DlyTime: 400.0ms
  F  5 =     40 | ?Bf:SpaceRHypAsa | DlyFeedback: 40?
  F  6 =     53 | ?Bf:SpaceRHypAsa | DlyWetLev: 53?  
  F  7 =    100 | ?Bf:SpaceRHypAsa | DlyDryLev:100?  
  F  8 =      0 | ?Bf:SpaceRHypAsa | PressMode:OFF?  
  F  9 =     50 | ?Bf:SpaceRHypAsa | PressSens: 50?  
  F 10 =    100 | ?Bf:SpaceRHypAsa | PressAtck: 100ms
